CustomerID,MonthlySalary,LoanAmount,DisbursementDate,DueDate,ActualRepaymentDate,PastDue30Days,LatePayment,previous_loans,on_time,previous_on_time,ever_30dpd,Multiplier,AllowedLimit,Approved
C001,2500,500,2025-01-05,2025-02-04,2025-01-19,0,False,0,True,0,False,0.5,1250.0,True
C001,2500,400,2025-02-01,2025-03-03,2025-02-15,0,False,1,True,1,False,1.0,2500.0,True
C001,2500,450,2025-03-10,2025-04-09,2025-04-05,1,True,2,False,2,True,1.5,3750.0,True
C002,3200,700,2025-01-10,2025-02-09,2025-02-05,1,True,0,False,0,True,0.5,1600.0,True
C002,3200,800,2025-03-01,2025-03-31,2025-03-14,0,False,1,True,0,True,0.5,1600.0,True
C003,2800,600,2025-01-15,2025-02-14,2025-02-10,1,True,0,False,0,True,0.5,1400.0,True
C003,2800,500,2025-03-05,2025-04-04,2025-03-18,0,False,1,True,0,True,0.5,1400.0,True
C004,4000,1000,2025-02-05,2025-03-07,2025-02-19,0,False,0,True,0,False,0.5,2000.0,True
C004,4000,1200,2025-03-15,2025-04-14,2025-03-29,0,False,1,True,1,False,1.0,4000.0,True
C005,2200,300,2025-02-10,2025-03-12,2025-03-01,1,True,0,False,0,True,0.5,1100.0,True
C007,1800,200,2025-02-15,2025-03-16,2025-04-10,1,True,0,False,0,True,0.5,900.0,True
C008,3500,900,2025-01-25,2025-02-24,2025-03-15,0,False,0,True,0,False,0.5,1750.0,True
C009,2700,500,2025-03-01,2025-03-31,2025-07-01,1,True,0,False,0,True,0.5,1350.0,True
C010,4000,600,2025-02-20,2025-03-22,2025-04-15,1,True,0,False,0,True,0.5,2000.0,True
